ThumbsUp: Military, ImageName: 10Dog, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 666.7123 ms
ThumbsUp: Military, ImageName: 1Bird, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 769.9787 ms
ThumbsUp: Military, ImageName: 2Military_Tank, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 460.6709 ms
ThumbsUp: Military, ImageName: 3Military_Helicopter, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 863.0149 ms
ThumbsUp: Military, ImageName: 4Military_Medic, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 451.8477 ms
ThumbsUp: Military, ImageName: 5Medical, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 649.1033 ms
ThumbsUp: Military, ImageName: 6Military_Gun, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 725.4903 ms
ThumbsUp: Military, ImageName: 7Tesla, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 697.5768 ms
ThumbsUp: Military, ImageName: 8Hummer, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 680.9249 ms
ThumbsUp: Military, ImageName: 9Military_Hummer, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 383.4043 ms
ThumbsUp: NonMilitary, ImageName: 10Dog, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 475.2802 ms
ThumbsUp: NonMilitary, ImageName: 1Bird, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 990.7186 ms
ThumbsUp: NonMilitary, ImageName: 2Military_Tank, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 833.7966 ms
ThumbsUp: NonMilitary, ImageName: 3Military_Helicopter, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 437.6414 ms
ThumbsUp: NonMilitary, ImageName: 4Military_Medic, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 381.413 ms
ThumbsUp: NonMilitary, ImageName: 5Medical, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 308.1262 ms
ThumbsUp: NonMilitary, ImageName: 6Military_Gun, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 236.3374 ms
ThumbsUp: NonMilitary, ImageName: 7Tesla, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 242.459 ms
ThumbsUp: NonMilitary, ImageName: 8Hummer, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 162.7459 ms
ThumbsUp: NonMilitary, ImageName: 9Military_Hummer, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 279.3433 ms
